num_dscnn_layers,first_conv_filters,first_conv_kernel,first_conv_stride,depthwise_kernel,pointwise_filters,pooling_function,dropout_rate,int8_accuracy
5,32,"(8,4)","(2,2)","(3,3)",32,gap,0.2,0.9189944134078212
3,64,"(10,4)","(2,2)","(5,5)",32,max,0.2,0.9352221335461559
4,32,"(10,4)","(2,2)","(3,3)",32,max,0.0,0.9017025804735302
2,64,"(10,4)","(2,2)","(3,3)",96,max,0.2,0.9390795424314977
2,64,"(8,4)","(1,1)","(3,3)",32,gap,0.3,0.8019420058526204
2,64,"(10,4)","(2,2)","(5,5)",64,max,0.2,0.9336259643522213
5,64,"(10,4)","(1,1)","(5,5)",96,max,0.3,0.9462623038042033
5,32,"(10,4)","(1,1)","(5,5)",96,max,0.3,0.9461292897047087
5,64,"(10,4)","(1,1)","(5,5)",96,max,0.0,0.9372173450385741
6,64,"(8,4)","(2,2)","(3,3)",96,gap,0.3,0.9447991487097632
