num_dscnn_layers,first_conv_filters,first_conv_kernel,first_conv_stride,depthwise_kernel,pointwise_filters,pooling_function,dropout_rate,int8_accuracy
5,32,"(8,4)","(2,2)","(3,3)",32,gap,0.2,0.9075552008512903
3,64,"(10,4)","(2,2)","(5,5)",32,max,0.2,0.9322958233572759
4,32,"(10,4)","(2,2)","(3,3)",32,max,0.0,0.915536046820963
2,64,"(10,4)","(2,2)","(3,3)",96,max,0.2,0.9393455706304868
2,64,"(8,4)","(1,1)","(3,3)",32,gap,0.3,0.8204309656823623
2,64,"(10,4)","(2,2)","(5,5)",64,max,0.2,0.9380154296355414
2,64,"(10,4)","(1,1)","(3,3)",96,max,0.2,0.9354881617451449
2,64,"(8,4)","(2,2)","(5,5)",96,max,0.3,0.9440010641127959
2,64,"(8,4)","(2,2)","(3,3)",96,max,0.0,0.9385474860335196
6,64,"(10,4)","(1,1)","(5,5)",96,gap,0.3,0.9357541899441341
