num_dscnn_layers,first_conv_filters,first_conv_kernel,first_conv_stride,depthwise_kernel,pointwise_filters,pooling_function,dropout_rate,int8_accuracy
5,32,"(8,4)","(2,2)","(3,3)",32,gap,0.2,-9.184697949886324
5,32,"(10,4)","(1,1)","(3,3)",32,max,0.0,-9.183800518512726
3,64,"(10,4)","(2,2)","(5,5)",96,max,0.2,-23.018796956539152
4,64,"(8,4)","(2,2)","(3,3)",64,max,0.3,-16.118968665599823
4,32,"(8,4)","(2,2)","(5,5)",32,max,0.3,-5.420032727718354
3,32,"(10,4)","(2,2)","(5,5)",32,max,0.3,-0.4138821125030523
2,32,"(8,4)","(1,1)","(3,3)",32,gap,0.0,0.7842511534690857
4,64,"(8,4)","(2,2)","(5,5)",32,max,0.0,-7.439279472827913
2,32,"(10,4)","(1,1)","(3,3)",32,gap,0.0,0.7822559475898743
5,32,"(8,4)","(2,2)","(5,5)",96,max,0.2,-44.984891700744626
